"BOM版本","物料编号","子系统","状态","优先级","制造商","型号或规格","数量","单件质量_g","总质量_g","外形尺寸_mm","电气或通信接口","证据状态","待确认事项"
"0.2","PROP-MOTOR-001","动力系统","已锁定","P0","T-MOTOR","1103 8000KV","4","3.8","15.2","待定","配合3S 300mAh电池；工作点待实测","型号与数量由用户确认；质量沿用交接估算，待实物称重","需通过推力台验证推力、电流、温升和安装尺寸"
"0.6","PROP-PROP-001","动力系统","已锁定","P0","Gemfan","2216S-3 2.2英寸三叶桨，1.5 mm T型安装孔","4","0.8","3.2","直径55.88；其余尺寸待定","机械连接","用户再次确认型号为2216S-3；质量与尺寸仍需核验；20260909手册第11页要求柔性桨；现有型号柔性合规未验证","确认正反桨配对、桨毂配合及涵道桨尖间隙；核对柔性材料和全包围保护罩内安装"
"0.2","FC-AIO-001","飞行控制","已锁定","P0","MicoAir","MicoAir743v2-AIO-45A","1","10","10","36×36×8；安装孔距25.5×25.5；孔径Φ3","3-6S VBAT；5V/2A与12V/2A BEC；7路UART；1路I2C；8路电机输出；4×45A AM32；DShot600","已购入；厂商手册已核实型号、主要接口、尺寸、质量及PX4支持","确认实物PCB版本、准确PX4 target、固件、串口分配、电流采样系数和无桨DShot测试"
"0.6","PWR-BAT-001","V0能源","已锁定","P0","待确认","3S 300mAh 95C","1","23","23","约19×18×50","连接器、化学体系和满充电压待确认","容量、串数、放电倍率、质量和尺寸由用户提供；20260909机上容量与电压上限待定，当前仅为开发电池","确认品牌型号、LiPo或LiHV、连接器、内阻、放电曲线、尺寸方向和电源线质量；不得以机库300Wh/30V认定机上合规"
"0.2","NAV-FLOW-001","安全定位","已锁定","P0","MicoAir","MTF-02P光流测距一体传感器","1","1.5","1.5","21.6×16×6.5","5V/100mA；LVTTL 3.3V串口；115200 baud；50Hz；Mavlink_px4或AUTO协议","已购入；厂商手册已核实集成ToF、接口、协议、尺寸、质量和标称量程","确认到货协议版本、安装方向、UART映射、PX4消息、EKF2参数及真实地面和光照性能"
"0.2","CAM-DOWN-001","感知系统","候选","P1","待定","OV9281级单色全局快门相机","1","待定","待定","待定","MIPI CSI；目标约1280×800，最高120 FPS级","仅确定规格等级","选择传感器模组、镜头、视场角、同步方式、载板接口、质量、功耗和延迟"
"0.2","CAM-FWD-001","感知系统","候选","P1","待定","OV9782级彩色全局快门相机","1","待定","待定","待定","MIPI CSI；0.5–1.0 MP以上；60–120 FPS以上","仅确定规格等级","选择传感器模组、镜头、初始水平视场角90°–110°、同步方式、载板接口、质量、功耗和延迟"
"0.2","OBS-TOF-001","避障系统","候选","P1","参考ST同类器件","VL53L8CX级8×8多区ToF","1","待定","待定","待定","I2C或SPI待定","仅确定技术方向","选择模组并确认日光性能、量程、更新率、视场角、接口、质量、功耗和安装位置"
"0.2","CMP-DEV-001","任务计算开发平台","候选","P1","Sipeed同类平台","MaixCAM2或AX630C开发平台","1","待定","待定","待定","双相机和串口需求待定","仅为候选","与K230进行统一基准测试；不得默认将完整开发板作为最终上机板"
"0.2","CMP-FINAL-001","最终任务计算平台","待定","P1","待定","K230或AX630C核心板加轻量化载板","1","AX630C路线目标不超过约10","待定","待定","MIPI相机；UART MAVLink2；同步方式待定","等待基准测试后选型","测量质量、功耗、启动可靠性、VIO CPU性能、NPU性能、延迟、散热、相机同步和载板复杂度"
"0.6","RX-001","遥控链路","待定","P0","待定","遥控接收机及通信链路","1","待定","待定","待定","待定","尚未选型；20260909第11页强制紧急停桨遥控器/接收机及安全员；未验证","选择与AIO接口及规则兼容、支持安全人工控制和失控保护的链路；无桨验证紧急停桨，比赛全自动，频段与链路细则TBD"
"0.6","FRAME-001","机械结构","当前基线","P0","自研","同平面2.2英寸全包围桨保机架；完整涵道非强制","1","目标25-35","待定","最大外包络118-120；按规则保守取最大包络边D","机械连接","仅有概念方案；当前规则要求全包围桨保及尺寸重量线性校核；用户允许必要时舍弃涵道；20260909第11页要求桨叶和机体不外露、任意角度碰撞保护；原开放框架需重审","完成CAD、公差、质量、刚度、重心、桨尖间隙、中央硬件堆叠、相机保护、撞击/拦截载荷路径及可更换前部结构设计；整机重量仅按实际D满足150g≤m≤322.5-1.225D，不另设165g硬上限；重新验证保护罩全包围/变形/公差，官方碰撞速度TBD"
"0.2","HARNESS-001","系统集成","待定","P1","自研","线束、连接器、紧固件、减振件和安装件","1","待定","待定","待定","电源、信号和机械连接","尚未设计","建立接线图和完整质量预算，并计入所有小型零件"
"0.6","ENERGY-SC-001","未来能源系统","待定","P3","待定","超级电容加电容管理器能源模块","1","待定","待定","待定","受控动力母线；稳压逻辑电源；遥测接口待定","仅为后续研究方向；20260909未指定必须使用超级电容，机上能源限值TBD","拓扑、电容量、单体、均衡、保护、转换效率、质量、热性能、电流能力和通信方式均待确定；模块选型须等待能源规则并完成实测"
"0.7","CMP-PI5-001","双目深度计算平台","当前基线","P1","Raspberry Pi","Raspberry Pi 5；Ubuntu Server 24.04","1","待定","待定","待定","USB双目输入；ROS 2 Jazzy开发基线安装状态待核验","2026-09-11用户确认型号；2026-09-16实机核验aarch64、OpenCV 4.6.0及2560×960双目流；短时取帧约58–59 FPS，不代表深度性能或飞行验证","当前使用Pi 5验证，后续迁移RK3576（用户确认）；内存容量、系统架构、内核、功耗散热及RK3576具体板卡系统待确认"
"0.7","CAM-STEREO-USB-001","双目深度输入","当前基线","P1","待定","硬件同帧同步USB免驱双目摄像头；单帧左右拼接","1","待定","待定","待定","USB；左右拼接图像；硬件同步","2026-09-11用户确认接口形态；2026-09-16实机枚举与20 mm棋盘标定见CAM-STEREO-DEV-001","型号、传感器、快门类型、USB版本、像素格式、安装方向、质量功耗及测距指标TBD；标定与实测证据以CAM-STEREO-DEV-001为准"
"0.7","CAM-STEREO-DEV-001","双目深度验证相机","已接入验证平台","P1","待核验","USB同帧左右拼接双目；具体传感器及镜头型号待核验","1","待定","待定","待定","USB V4L2 MJPG；已测总图2560×960，每目1280×960","2026-09-16模式枚举及网页原图尺寸实测；已实现11×8内角点、20 mm视频引导标定","已完成30组20 mm棋盘标定并应用，基线估计67.6718 mm；米制距离精度、功耗、质量、同步电路及最终机载适用性仍待验证"
